Sample,Age.Days,DPE,Treatment,Temperature,Tank.ID,Sex,Pathology.Results,Total.Worm.Count,Repeat.Extract,No.PCR.Product,Treatment.,Temperature.,DPE.,Temp.DPE.,Temp.Treat.,Treat.Temp.DPE.,Path.Res.,Temp.Path.,Shannon__Genus,Simpson__Genus,Richness__Genus,Phylogenetic__Genus,Shannon__Genus_norm,Simpson__Genus_norm,Richness__Genus_norm,Phylogenetic__Genus_norm
204,192,28,0,35,2,0,0,0,0,0,1,3,4,14,5,14,1,5,14.34799569,7.780852773,59,15.11711,0.432911034,0.504724433,0.415376371,0.428144685
206,192,28,0,32,5,1,0,0,0,0,1,2,4,9,3,9,1,3,10.37345905,4.529791697,75,19.21562,0.347730567,0.352641164,0.503765257,0.519312403
207,192,28,0,32,5,0,0,0,0,0,1,2,4,9,3,9,1,3,17.88502785,9.517060267,77,19.88266,0.498292279,0.565128669,0.514290988,0.533145442
208,192,28,0,32,5,0,0,0,0,0,1,2,4,9,3,9,1,3,13.91085444,6.897887978,61,16.34205,0.424238722,0.469606568,0.426877872,0.456623185
209,192,28,0,32,5,1,0,0,0,0,1,2,4,9,3,9,1,3,16.53397494,8.284439121,72,18.40602,0.474239695,0.523303805,0.487777044,0.502179768
211,192,28,1,35,11,1,0,0,0,0,2,3,4,14,6,29,1,5,9.851328064,5.531160335,68,17.78521,0.33527918,0.407117621,0.466065055,0.488772489
212,192,28,1,35,11,1,0,0,0,0,2,3,4,14,6,29,1,5,9.592732661,4.449838904,70,18.14896,0.328977851,0.347875624,0.476979215,0.496657441
213,192,28,1,35,11,1,0,0,0,0,2,3,4,14,6,29,1,5,17.89497846,10.61940945,82,23.42057,0.498465651,0.598901541,0.540166571,0.60274285
214,192,28,1,35,11,1,1,1,0,0,2,3,4,14,6,29,2,6,5.826405136,3.694484635,54,15.14684,0.223809097,0.298971651,0.385962929,0.428849931
216,192,28,1,32,1,1,1,4,0,0,2,2,4,9,4,24,2,4,8.288705607,4.446482469,54,14.8371,0.295679143,0.347674026,0.385962929,0.421466324
